Order Date,Ship Date,Work,Order #,Product,Fulfilment Country,Destination Country,Destination State,Status,Quantity,Retail Price (USD),Manufacturing Price (USD),Artist Margin (USD)
15 Nov 18,19 Nov 18,Artemisia Gentileschi- &quot;Judith Slaying Holofernes&quot;,23263540,Sleeveless Top,United States,South Africa,Western Cape ,paid,1,33.87,26.67,7.20
 8 Nov 18,12 Nov 18,"""Joan of Arc""- Albert Lynch",23134983,Tote Bag,United States,United States,TX,paid,1,18.00,14.17,3.83
 7 Nov 18, 7 Nov 18,Sappho and Erinna in a garden at Mytilene,23106734,Poster,United States,United States,CT,paid,1,13.08,10.30,2.78
 2 Nov 18, 5 Nov 18,"""Joan of Arc""- Albert Lynch",23022292,Relaxed Fit T-Shirt,United Kingdom,United Kingdom,ENGLAND,paid,1,27.06,22.09,4.97
30 Oct 18,31 Oct 18,Jeanne D' Arc,22978050,Sticker,United States,United States,CA,paid,1,2.11,1.69,0.42
30 Oct 18,31 Oct 18,Joan of Arc awakening,22978050,Sticker,United States,United States,CA,paid,1,2.11,1.69,0.42
27 Oct 18,30 Oct 18,Artemisia Gentileschi- &quot;Judith Slaying Holofernes&quot;,22932495,Photographic Print,United States,United States,MS,paid,1,23.28,18.33,4.95
26 Oct 18,29 Oct 18,"""Joan of Arc""- Albert Lynch",22926214,Sticker,United States,United States,WA,paid,1,10.48,8.25,2.23
23 Oct 18,25 Oct 18,"""Maid of Heaven""-Sir John Everett Millais-Meme",22882837,Sticker,United States,United States,WI,paid,1,1.31,1.03,0.28
20 Oct 18,23 Oct 18,"""Maid of Heaven""-Sir John Everett Millais",22818153,Sticker,United Kingdom,United Kingdom,North Yorkshire,paid,1,1.15,0.94,0.21
17 Oct 18,18 Oct 18,Artemisia Gentileschi- &quot;Judith Slaying Holofernes&quot;,22781001,Relaxed Fit T-Shirt,United States,United States,NY,paid,1,31.22,24.58,6.64
11 Oct 18,15 Oct 18,Judith and Her Servant - Artemisia Gentileschi,22677313,Sticker,United States,United States,IL,paid,2,3.94,3.11,0.83
 7 Oct 18, 9 Oct 18,Artemisia Gentileschi- &quot;Judith Slaying Holofernes&quot;,22594990,Sleeveless Top,United States,United States,UT,paid,1,26.37,20.76,5.61
 3 Oct 18, 4 Oct 18,Judith and her Maidservant - Artemisia Gentileschi,22512918,Sticker,United States,United States,IL,paid,1,1.31,1.03,0.28
 2 Oct 18, 5 Oct 18,Artemisia Gentileschi- &quot;Judith Slaying Holofernes&quot;,22500631,Art Board Print,United States,United States,TX,paid,1,11.86,9.34,2.52
 2 Oct 18, 2 Oct 18,"""Joan of Arc""- Albert Lynch",22492220,iPhone Case,United States,United States,CA,paid,1,27.24,21.84,5.40
29 Sep 18, 3 Oct 18,Artemisia Gentileschi- &quot;Judith Slaying Holofernes&quot;,22434327,T-Shirt,United States,United States,CA,paid,1,28.36,22.74,5.62
20 Sep 18,20 Sep 18,Salome- Henri Regnault ,22259624,Art Print,United States,United States,VA,paid,1,20.84,16.67,4.17
15 Sep 18,17 Sep 18,Judith and her Maidservant - Artemisia Gentileschi,22139573,Graphic T-Shirt,United States,United States,WI,paid,1,28.07,22.46,5.61
10 Sep 18,11 Sep 18,"""Diana Hunting""- Guillarme Seignac",22044181,Art Print,United States,United States,NY,paid,2,40.00,32.00,8.00
 6 Sep 18, 6 Sep 18,Judith and Her Servant - Artemisia Gentileschi w/ Feminist Quote,21956547,Poster,United States,United States,NY,paid,1,9.66,7.73,1.93
26 Aug 18,29 Aug 18,"""Maid of Heaven""-Sir John Everett Millais-Meme",21701853,Fitted Scoop T-Shirt,Netherlands,Germany,RP,paid,1,26.80,22.21,4.59
24 Aug 18,27 Aug 18,Artemisia Gentileschi- &quot;Judith Slaying Holofernes&quot;,21645313,Graphic T-Shirt,United States,United States,NY,paid,1,23.39,18.71,4.68
16 Aug 18,19 Aug 18,Artemisia Gentileschi- &quot;Judith Slaying Holofernes&quot;,21485066,Tote Bag,United States,United States,CA,paid,1,21.12,20.18,0.94
 6 Aug 18, 7 Aug 18,Artemisia Gentileschi- &quot;Judith Slaying Holofernes&quot;,21295283,Poster,United Kingdom,United Kingdom,ENGLAND,paid,1,26.32,25.27,1.05
 4 Aug 18, 6 Aug 18,"Geisha, Japan, Ukiyo-e",21255478,T-Shirt,Australia,Hong Kong,HONG KONG,paid,1,17.41,16.58,0.83
12 Jul 18,13 Jul 18,Artemisia Gentileschi- &quot;Judith Slaying Holofernes&quot;,20884244,Chiffon Top,United States,United States,MN,paid,1,20.82,19.83,0.99
26 Jun 18,28 Jun 18,Artemisia Gentileschi- &quot;Judith Slaying Holofernes&quot;,20643071,Graphic T-Shirt,United Kingdom,United Kingdom,ENGLAND,paid,1,26.48,25.42,1.06
